year,month,res,nonres
2014,January,687,35
2014,February,657,38
2014,March,732,42
2014,April,666,43
2014,May,704,44
2014,June,609,36
2014,July,599,34
2014,August,654,39
2014,September,553,39
2014,October,650,55
2014,November,535,47
2014,December,575,45
2015,January,753,59
2015,February,703,47
2015,March,670,27
2015,April,657,44
2015,May,681,43
2015,June,644,39
2015,July,621,48
2015,August,527,23
2015,September,581,44
2015,October,592,33
2015,November,504,30
2015,December,554,33
2016,January,599,34
2016,February,607,49
2016,March,687,54
2016,April,661,35
2016,May,566,55
2016,June,552,61
2016,July,549,52
2016,August,530,28
2016,September,530,49
2016,October,476,33
2016,November,502,18
2016,December,508,42
2017,January,571,47
2017,February,617,49
2017,March,741,51
2017,April,584,42
2017,May,588,55
2017,June,554,66
2017,July,513,42
2017,August,632,51
2017,September,588,47
2017,October,580,54
2017,November,615,40
2017,December,589,62
2018,January,576,59
2018,February,626,40
2018,March,746,78
2018,April,581,65
2018,May,666,72
2018,June,641,74
2018,July,494,58
2018,August,668,76
2018,September,579,57
2018,October,523,63
2018,November,588,66
2018,December,575,66
2019,January,675,61
2019,February,622,72
2019,March,646,86
2019,April,578,71
2019,May,668,71
2019,June,504,42
2019,July,561,39
2019,August,634,39
2019,September,468,35
2019,October,556,43
2019,November,596,33
2019,December,511,26
2020,January,694,59
2020,February,587,24
2020,March,648,37
2020,April,693,35
2020,May,711,26
2020,June,543,21
2020,July,657,26
2020,August,520,23
2020,September,639,32
2020,October,605,36
2020,November,497,32
2020,December,578,33
2021,January,750,43
2021,February,648,38
2021,March,732,40
2021,April,750,36
2021,May,591,40
2021,June,639,45
2021,July,689,25
2021,August,651,34
2021,September,639,45
2021,October,641,36
2021,November,580,24
2021,December,639,59
