year,Name,Count
2014,Adams,8
2014,Allen,330
2014,Bartholomew,81
2014,Benton,12
2014,Blackford,9
2014,Boone,41
2014,Brown,8
2014,Carroll,14
2014,Cass,20
2014,Clark,20
2014,Clay,14
2014,Clinton,23
2014,Crawford,2
2014,Daviess,15
2014,Dearborn,7
2014,Decatur,17
2014,DeKalb,19
2014,Delaware,127
2014,Dubois,20
2014,Elkhart,157
2014,Fayette,19
2014,Floyd,10
2014,Fountain,12
2014,Franklin,3
2014,Fulton,16
2014,Gibson,20
2014,Grant,51
2014,Greene,16
2014,Hamilton,293
2014,Hancock,62
2014,Harrison,9
2014,Hendricks,164
2014,Henry,33
2014,Howard,94
2014,Huntington,13
2014,Jackson,18
2014,Jasper,31
2014,Jay,5
2014,Jefferson,14
2014,Jennings,16
2014,Johnson,181
2014,Knox,22
2014,Kosciusko,41
2014,LaGrange,7
2014,Lake,710
2014,LaPorte,134
2014,Lawrence,39
2014,Madison,136
2014,Marion,2669
2014,Marshall,34
2014,Martin,5
2014,Miami,11
2014,Monroe,248
2014,Montgomery,27
2014,Morgan,54
2014,Newton,14
2014,Noble,21
2014,Ohio,1
2014,Orange,8
2014,Owen,9
2014,Parke,8
2014,Perry,7
2014,Pike,5
2014,Porter,195
2014,Posey,5
2014,Pulaski,7
2014,Putnam,28
2014,Randolph,16
2014,Ripley,12
2014,Rush,16
2014,St. Joseph,337
2014,Scott,13
2014,Shelby,31
2014,Spencer,5
2014,Starke,14
2014,Steuben,5
2014,Sullivan,7
2014,Tippecanoe,257
2014,Tipton,6
2014,Union,2
2014,Vanderburgh,126
2014,Vermillion,6
2014,Vigo,105
2014,Wabash,27
2014,Warren,2
2014,Warrick,17
2014,Washington,6
2014,Wayne,52
2014,Wells,13
2014,White,21
2014,Whitley,16
2015,Adams,15
2015,Allen,326
2015,Bartholomew,92
2015,Benton,7
2015,Blackford,4
2015,Boone,49
2015,Brown,10
2015,Carroll,4
2015,Cass,28
2015,Clark,28
2015,Clay,21
2015,Clinton,22
2015,Crawford,3
2015,Daviess,9
2015,Dearborn,7
2015,Decatur,14
2015,DeKalb,18
2015,Delaware,134
2015,Dubois,17
2015,Elkhart,169
2015,Fayette,9
2015,Floyd,15
2015,Fountain,7
2015,Franklin,10
2015,Fulton,3
2015,Gibson,10
2015,Grant,50
2015,Greene,12
2015,Hamilton,269
2015,Hancock,43
2015,Harrison,7
2015,Hendricks,143
2015,Henry,33
2015,Howard,87
2015,Huntington,18
2015,Jackson,16
2015,Jasper,27
2015,Jay,11
2015,Jefferson,25
2015,Jennings,11
2015,Johnson,173
2015,Knox,23
2015,Kosciusko,41
2015,LaGrange,7
2015,Lake,709
2015,LaPorte,128
2015,Lawrence,49
2015,Madison,124
2015,Marion,2667
2015,Marshall,35
2015,Martin,8
2015,Miami,24
2015,Monroe,252
2015,Montgomery,25
2015,Morgan,64
2015,Newton,14
2015,Noble,18
2015,Ohio,1
2015,Orange,14
2015,Owen,14
2015,Parke,8
2015,Perry,4
2015,Pike,6
2015,Porter,151
2015,Posey,5
2015,Pulaski,6
2015,Putnam,23
2015,Randolph,23
2015,Ripley,4
2015,Rush,3
2015,St. Joseph,312
2015,Scott,16
2015,Shelby,36
2015,Spencer,8
2015,Starke,15
2015,Steuben,8
2015,Sullivan,9
2015,Tippecanoe,272
2015,Tipton,9
2015,Union,2
2015,Vanderburgh,115
2015,Vermillion,8
2015,Vigo,126
2015,Wabash,20
2015,Warren,4
2015,Warrick,20
2015,Washington,14
2015,Wayne,38
2015,Wells,10
2015,White,18
2015,Whitley,17
2016,Adams,9
2016,Allen,289
2016,Bartholomew,89
2016,Benton,4
2016,Blackford,9
2016,Boone,53
2016,Brown,13
2016,Carroll,12
2016,Cass,29
2016,Clark,34
2016,Clay,21
2016,Clinton,38
