Adams,15,Hendricks,143,Pike,6
Allen,326,Henry,33,Porter,151
Bartholomew,92,Howard,87,Posey,5
Benton,7,Huntington,18,Pulaski,6
Blackford,4,Jackson,16,Putnam,23
Boone,49,Jasper,27,Randolph,23
Brown,10,Jay,11,Ripley,4
Carroll,4,Jefferson,25,Rush,3
Cass,28,Jennings,11,St. Joseph,312
Clark,28,Johnson,173,Scott,16
Clay,21,Knox,23,Shelby,36
Clinton,22,Kosciusko,41,Spencer,8
Crawford,3,LaGrange,7,Starke,15
Daviess,9,Lake,709,Steuben,8
Dearborn,7,LaPorte,128,Sullivan,9
Decatur,14,Lawrence,49,Tippecanoe,272
DeKalb,18,Madison,124,Tipton,9
Delaware,134,Marion,"2,667",Union,2
Dubois,17,Marshall,35,Vanderburgh,115
Elkhart,169,Martin,8,Vermillion,8
Fayette,9,Miami,24,Vigo,126
Floyd,15,Monroe,252,Wabash,20
Fountain,7,Montgomery,25,Warren,4
Franklin,10,Morgan,64,Warrick,20
Fulton,3,Newton,14,Washington,14
Gibson,10,Noble,18,Wayne,38
Grant,50,Ohio,1,Wells,10
Greene,12,Orange,14,White,18
Hamilton,269,Owen,14,Whitley,17
Hancock,43,Parke,8,Unknown,3
Harrison,7,Perry,4,Total,"7,487"
