Adams,8,Hendricks,177,Pike,1
Allen,284,Henry,30,Porter,129
Bartholomew,84,Howard,90,Posey,7
Benton,6,Huntington,13,Pulaski,6
Blackford,4,Jackson,30,Putnam,19
Boone,53,Jasper,27,Randolph,12
Brown,9,Jay,5,Ripley,5
Carroll,14,Jefferson,36,Rush,8
Cass,27,Jennings,12,Scott,14
Clark,20,Johnson,175,Shelby,33
Clay,17,Knox,16,Spencer,4
Clinton,17,Kosciusko,39,St. Joseph,261
Crawford,3,LaGrange,4,Starke,19
Daviess,12,Lake,508,Steuben,6
De Kalb,14,LaPorte,105,Sullivan,5
Dearborn,4,Lawrence,35,Switzerland,0
Decatur,14,Madison,135,Tippecanoe,239
Delaware,136,Marion,"3,052",Tipton,8
Dubois,19,Marshall,22,Union,2
Elkhart,140,Martin,3,Vanderburgh,123
Fayette,17,Miami,18,Vermillion,12
Floyd,11,Monroe,192,Vigo,90
Fountain,11,Montgomery,28,Wabash,8
Franklin,8,Morgan,55,Warren,6
Fulton,13,Newton,5,Warrick,29
Gibson,18,Noble,8,Washington,5
Grant,61,Ohio,0,Wayne,33
Greene,8,Orange,9,Wells,7
Hamilton,302,Owen,10,White,17
Hancock,64,Parke,6,Whitley,14
Harrison,5,Perry,2,Total,"7,372"
